"section","rank","candidate_id","region","status","final_score","title","year","doi","reason"
"eligible_ranking","1","EU-001","EU","hard_pass","79","Adaptive Gene Level Mutation","2021","10.3390/a14010016","Deep-audit score: easiest lawful MATLAB target with deterministic N-Queens inputs, MIT code, baseline, and power ablation; paper/code mismatches, broken sweep scripts, and missing seeds/raw runs prevent a higher score."
"eligible_ranking","2","USA-001","USA","hard_pass","77","Calibration of an Adaptive Genetic Algorithm for Modeling Opinion Diffusion","2022","10.3390/a15020045","Deep-audit score: strongest intermediate simulation archive and complete four-control adaptation; no seeds or archived study driver, GPL-3.0 copyleft, and no fixed-control baseline."
"noneligible","","USA-002","USA","hard_fail","","Using a novel genetic algorithm to assess peer influence on willingness to use pre-exposure prophylaxis in networks of Black men who have sex with men","2021","10.1007/s41109-020-00347-2","Re-audit: the archive has incomplete result CSVs, not rerunnable inputs; generator, driver, seeds, matrices, and analysis code are absent, the weight law is underspecified, and paper/code semantics conflict."
"noneligible","","EU-002","EU","hard_fail","","An Efficient Hybrid Evolutionary Optimization Method Coupling Cultural Algorithm with Genetic Algorithms and Its Application to Aerodynamic Shape Design","2022","10.3390/app12073482","Re-audit: Equation 10 is unusable, entropy/normalizers and base GA operators are underspecified, β conflicts between prose and Table 6, the wing vector lacks one bound and all executable CFD inputs, and no target supports exact reproduction within 5%."
"noneligible","","EU-003","EU","hard_fail","","A decision support tool for optimising groundwater-level monitoring networks using an adaptive genetic algorithm","2021","10.2166/hydro.2021.045","Re-audit: the authors explicitly withhold the 70-borehole input data; initial fractions and stall triggers conflict, probability/fraction and custom-operator semantics are incomplete, and no seeds, raw runs, SD, or CI support a reproducible target within 5%."
"noneligible","","USA-003","USA","hard_fail","","Genetic algorithms with self-adaptation for predictive classification of Medicare standardized payments for physical therapists","2023","10.1016/j.eswa.2023.119529","Re-audit: the exact 40662-row analytic table and splits are request-only; ten operator mappings and boundary/self-mutation/multi-parent semantics are absent; and no code, seeds, or raw 50-run values support a discriminating CI or 5% reproduction gate."
"noneligible","","USA-004","USA","hard_fail","","Effects of Imputation Strategy on Genetic Algorithms and Neural Networks on a Binary Classification Problem","2022","10.1145/3512290.3528863","Re-audit: the processed 40662×25 input is absent, reported splits are short by 299 rows, 900 masks/seeds and executable SAGA semantics are unavailable, and figure-only confidence bands do not define a discriminating CI or 5% reproduction gate."
"noneligible","","USA-005","USA","conditional_noneligible","","Performance of a Genetic Algorithm for Estimating DeGroot Opinion Diffusion Model Parameters for Health Behavior Interventions","2021","10.3390/ijerph182413394","Adaptation is not independently specified in this paper and must be imported from a prior method paper."
"noneligible","","USA-006","USA","conditional_noneligible","","An On-Board Off-Board Framework for Online Replanning: Applied to UAVs in Urban Environments","2024","Не вказано","The paper does not establish at least 11 active route genes for every reported run and omits the critical dynamic-rate formula and bounds."
"noneligible","","EU-004","EU","hard_fail","","The development of a novel adaptive genetic algorithm for the optimization of fuel cycle length","2021","10.1016/j.anucene.2021.108153","No unambiguous lawful full text of the exact journal article; related thesis evidence cannot replace it."
"noneligible","","EU-005","EU","hard_fail","","Adaptive crossover operator based multi-objective binary genetic algorithm for feature selection in classification","2021","10.1016/j.knosys.2021.107218","Lawful full text and exact evidence for at least 11 decision variables remain unresolved."
"noneligible","","EU-006","EU","conditional_noneligible","","Feature selection using a classification error impurity algorithm and an adaptive genetic algorithm improved with an external repository","2024","10.1016/j.knosys.2024.112345","Upstream license/provenance is unresolved for the bundled biomedical datasets. Its deep-audit 73/100 is provisional comparative information only; final_score remains null and the candidate is not rankable."
"noneligible","","EU-007","EU","hard_fail","","An Output Power Interval Control Strategy Based on Pseudo-Tip-Speed Ratio and Adaptive Genetic Algorithm for Variable-Pitch Tidal Stream Turbine","2022","10.3390/jmse10091197","Only two decision variables are optimized; GA hyperparameters cannot be counted as task decision variables."
"noneligible","","USA-007","USA","hard_fail","","Prediction of crystal structures and motifs in the Fe-Mg-O system at Earth's core pressures","2021","10.1088/1367-2630/ac0287","The outer adaptation refits a fitness surrogate rather than a GA parameter or operator, and critical genome, potential, code, and seed artifacts are missing."
"noneligible","","USA-008","USA","hard_fail","","Superconductivity in the Li-B-C system at 100 GPa","2023","10.1103/PhysRevB.107.014508","The outer adaptation refits an interatomic-potential surrogate rather than a GA parameter or operator, with no exact genome, code, fitted potential, or seeds."
